DIRECT_INFO_L 0 10122 0 5.377074
DIRECT_INFO_R 0 9969 0 5.295973
MODE: Multi
Time Resolution : 640000
Volume Resolution : 1000000
100Hz
L 10122 301260 5.376992
L 12750 1028 6.773220
L 12784 1027 6.791250
L 12801 1026 6.800302
L 12818 1026 6.809378
L 12835 1025 6.818478
L 12869 1023 6.836751
L 13425 1815 7.131977
L 13426 2729 7.132555
L 13427 1823 7.133203
L 13428 913 7.133627
L 13429 1828 7.134085
L 13430 1831 7.134736
L 13431 917 7.135257
L 13432 1836 7.135809
L 13433 919 7.136389
L 13434 920 7.136793
L 13435 921 7.137210
L 13436 1844 7.137864
L 13437 923 7.138545
L 13438 1831 7.138861
L 13439 925 7.139503
L 13440 926 7.140005
L 13441 927 7.140519
L 13442 928 7.141049
L 13443 928 7.141594
L 13444 929 7.142152
L 13445 930 7.142725
L 13446 931 7.143314
L 13447 932 7.143916
L 13449 933 7.144536
L 13450 934 7.145170
L 13451 4310 7.145845
L 13452 1843 7.146507
L 13453 936 7.147165
L 13455 937 7.147862
L 13456 938 7.148574
L 13458 4308 7.149421
L 13459 940 7.150048
L 13460 941 7.150809
L 13462 942 7.151587
L 13463 943 7.152383
L 13465 4307 7.153206
L 13466 945 7.154024
L 13467 907 7.154390
L 13468 946 7.154870
L 13470 947 7.155732
L 13471 948 7.156613
L 13473 949 7.157511
L 13475 950 7.158429
L 13476 951 7.159362
L 13478 952 7.160315
L 13479 3350 7.160613
L 13480 953 7.161287
L 13482 1861 7.162280
L 13484 955 7.163283
L 13486 4299 7.164319
L 13488 957 7.165357
L 13490 958 7.166421
L 13492 959 7.167505
L 13494 960 7.168610
L 13496 961 7.169733
L 13497 907 7.170213
L 13498 962 7.170876
L 13500 963 7.172040
L 13503 964 7.173223
L 13505 965 7.174428
L 13507 966 7.175653
L 13509 967 7.176900
L 13512 1876 7.178171
L 13514 970 7.179454
L 13517 971 7.180763
L 13519 972 7.182094
L 13522 973 7.183447
L 13524 974 7.184822
L 13527 1883 7.186196
L 13528 3306 7.186858
L 13530 976 7.187638
L 13532 978 7.189080
L 13535 979 7.190544
L 13538 980 7.192032
L 13541 981 7.193543
L 13542 907 7.194207
L 13543 3294 7.194461
L 13544 982 7.195077
L 13547 984 7.196635
L 13550 4272 7.198248
L 13553 986 7.199822
L 13556 987 7.201452
L 13557 4189 7.202193
L 13559 988 7.203106
L 13562 990 7.204785
L 13565 991 7.206489
L 13568 992 7.208219
L 13571 3269 7.209805
L 13572 1901 7.210176
L 13575 995 7.211752
L 13578 996 7.213557
L 13579 3263 7.213669
L 13582 997 7.215389
L 13585 999 7.217246
L 13588 907 7.218520
L 13589 1000 7.219131
L 13593 4252 7.221237
L 13596 1002 7.222977
L 13600 1004 7.224942
L 13601 3245 7.225332
L 13603 908 7.226696
L 13604 1005 7.226933
L 13607 1006 7.228951
L 13608 3239 7.229242
L 13611 1008 7.230998
L 13615 4242 7.233118
L 13619 1918 7.235041
L 13623 4239 7.237200
L 13627 1013 7.239461
L 13630 3221 7.241041
L 13631 1015 7.241648
L 13634 908 7.243156
L 13636 1016 7.243864
L 13640 1018 7.246108
L 13644 1019 7.248382
L 13645 3210 7.248962
L 13648 1021 7.250685
L 13650 908 7.251442
L 13653 4226 7.252978
L 13657 1024 7.255379
L 13662 1025 7.257771
L 13665 908 7.259764
L 13666 1027 7.260192
L 13671 1028 7.262644
L 13676 1030 7.265125
L 13680 1031 7.267636
L 13681 908 7.268123
L 13683 3180 7.268962
L 13688 1032 7.271868
L 13690 3175 7.272996
L 13697 908 7.276520
L 13698 4203 7.277110
L 13708 1035 7.282559
L 13713 4065 7.285058
L 13719 1036 7.288010
L 13729 5091 7.293427
L 13736 3140 7.297426
L 13740 1039 7.299121
L 13745 908 7.301935
L 13750 1040 7.304786
L 13752 3128 7.305657
L 13760 3123 7.309789
L 13761 1950 7.310503
L 13767 3117 7.313931
L 13772 1043 7.316338
L 13775 3111 7.318085
L 13777 908 7.319071
L 13783 4150 7.322238
L 13791 3100 7.326423
L 13793 908 7.327695
L 13794 1046 7.328195
L 13799 3094 7.330607
L 13807 3089 7.334804
L 13810 908 7.336361
L 13823 3077 7.343228
L 13826 908 7.345064
L 13842 908 7.353807
L 13846 3060 7.355943
L 13854 3054 7.360202
L 13859 908 7.362590
L 13863 3049 7.364471
L 13876 908 7.371413
L 13879 3037 7.373042
L 13887 3032 7.377344
L 13892 908 7.380278
L 13895 3026 7.381655
L 13903 3020 7.385977
L 13909 908 7.389180
L 13911 3015 7.390309
L 13919 3009 7.394652
L 13926 908 7.398125
L 13928 3003 7.399005
L 13936 17215 7.403680
L 13937 20357 7.403937
L 13938 8696 7.404522
L 13939 6622 7.405097
L 13940 4460 7.405606
L 13941 4494 7.406077
L 13942 5454 7.406714
L 13943 1852 7.407320
L 13944 4842 7.407819
L 13945 924 7.408285
L 13946 1846 7.408735
L 13947 1844 7.409366
L 13948 921 7.409860
L 13949 1840 7.410377
L 13950 919 7.410913
L 13951 1836 7.411469
L 13952 3903 7.412084
L 13953 917 7.412436
L 13954 1832 7.413045
L 13955 915 7.413671
L 13956 914 7.414098
L 13957 914 7.414535
L 13958 1826 7.415205
L 13959 912 7.415893
L 13960 911 7.416363
L 13961 911 7.416840
L 13962 910 7.417324
L 13963 910 7.417818
L 13964 909 7.418319
L 13965 909 7.418829
L 13966 908 7.419345
L 13967 907 7.419871
L 13968 907 7.420403
L 13969 3881 7.420934
L 13970 906 7.421492
L 13971 905 7.422048
L 13972 905 7.422612
L 13973 904 7.423182
L 13974 904 7.423761
L 13975 903 7.424348
L 13976 903 7.424941
L 13977 902 7.425542
L 13979 901 7.426151
L 13980 901 7.426766
L 13981 900 7.427390
L 13982 900 7.428020
L 13983 899 7.428658
L 13985 3862 7.429533
L 13986 898 7.429955
L 13987 898 7.430615
L 13988 897 7.431281
L 13990 897 7.431954
L 13991 896 7.432635
L 13992 896 7.433323
L 13993 895 7.434017
L 13995 895 7.434719
L 13996 894 7.435427
L 13997 894 7.436143
L 13999 893 7.436864
L 14000 893 7.437593
L 14002 892 7.438329
L 14003 892 7.439072
L 14004 891 7.439821
L 14006 891 7.440578
L 14007 890 7.441339
L 14009 890 7.442109
L 14010 889 7.442884
L 14012 889 7.443667
L 14013 888 7.444457
L 14015 888 7.445251
L 14016 3859 7.446123
L 14018 887 7.446863
L 14019 887 7.447677
L 14021 886 7.448499
L 14022 886 7.449326
L 14024 885 7.450160
L 14025 885 7.451001
L 14027 884 7.451847
L 14029 884 7.452701
L 14030 883 7.453559
L 14032 883 7.454425
L 14033 882 7.455296
L 14035 3861 7.456043
L 14037 881 7.457058
L 14038 881 7.457950
L 14040 881 7.458845
L 14042 880 7.459748
L 14044 880 7.460657
L 14045 879 7.461571
L 14047 879 7.462491
L 14049 878 7.463418
L 14051 878 7.464349
L 14052 878 7.465289
L 14054 877 7.466233
L 14056 877 7.467183
